GICDeviceID,SampleDateTime,GICMeasured
10237,8/25/2018 6:56:53 PM,-1.40
10237,8/25/2018 6:57:06 PM,-1.10
10237,8/25/2018 6:57:06 PM,-1.40
10237,8/25/2018 6:57:12 PM,-1.50
10237,8/25/2018 6:57:13 PM,-1.60
10237,8/25/2018 6:57:20 PM,-1.70
10237,8/25/2018 6:57:30 PM,-1.60
10237,8/25/2018 6:57:33 PM,-1.50
10237,8/25/2018 6:57:43 PM,-1.60
10237,8/25/2018 6:57:52 PM,-2.00
10237,8/25/2018 6:57:57 PM,-1.90
10237,8/25/2018 6:58:00 PM,-1.80
10237,8/25/2018 6:58:11 PM,-2.30
10237,8/25/2018 6:58:16 PM,-2.00
10237,8/25/2018 6:58:18 PM,-1.90
10237,8/25/2018 6:58:24 PM,-1.80
10237,8/25/2018 6:58:28 PM,-2.00
10237,8/25/2018 6:58:37 PM,-1.90
10237,8/25/2018 6:58:40 PM,-2.20
10237,8/25/2018 6:59:11 PM,-2.40
10237,8/25/2018 6:59:13 PM,-2.30
10237,8/25/2018 6:59:21 PM,-2.10
10237,8/25/2018 6:59:33 PM,-2.00
10237,8/25/2018 6:59:36 PM,-2.10
10237,8/25/2018 6:59:42 PM,-2.40
10237,8/25/2018 6:59:46 PM,-2.30
10237,8/25/2018 6:59:51 PM,-2.40
10237,8/25/2018 6:59:55 PM,-2.50
10237,8/25/2018 7:00:00 PM,-2.70
10237,8/25/2018 7:00:06 PM,-2.60
10237,8/25/2018 7:00:12 PM,-2.50
10237,8/25/2018 7:00:14 PM,-2.20
10237,8/25/2018 7:00:20 PM,-2.10
10237,8/25/2018 7:00:26 PM,-2.50
10237,8/25/2018 7:00:28 PM,-2.60
10237,8/25/2018 7:00:33 PM,-2.50
10237,8/25/2018 7:00:49 PM,-2.40
10237,8/25/2018 7:00:56 PM,-2.50
10237,8/25/2018 7:01:07 PM,-2.70
10237,8/25/2018 7:01:12 PM,-2.60
10237,8/25/2018 7:01:16 PM,-2.20
10237,8/25/2018 7:01:22 PM,-2.10
10237,8/25/2018 7:01:27 PM,-2.20
10237,8/25/2018 7:01:31 PM,-2.70
10237,8/25/2018 7:01:37 PM,-2.90
10237,8/25/2018 7:01:41 PM,-2.40
10237,8/25/2018 7:01:47 PM,-2.20
10237,8/25/2018 7:02:07 PM,-2.30
10237,8/25/2018 7:02:09 PM,-2.20
10237,8/25/2018 7:02:26 PM,-2.10
10237,8/25/2018 7:02:36 PM,-2.40
10237,8/25/2018 7:02:43 PM,-2.20
10237,8/25/2018 7:02:44 PM,-2.10
