Device ID, Start Date Time, End Date Time, Reason, Narrative
10234,08/26/2018 23:00:19,08/27/2018 00:00:00,3-Data Recording Device Malfunction,
10235,08/26/2018 23:00:41,08/27/2018 00:00:00,3-Data Recording Device Malfunction,
10236,08/26/2018 23:00:21,08/27/2018 00:00:00,3-Data Recording Device Malfunction,
10237,08/26/2018 04:33:07,08/26/2018 04:45:28,3-Data Recording Device Malfunction,
10237,08/26/2018 05:09:20,08/26/2018 05:19:28,3-Data Recording Device Malfunction,
10237,08/26/2018 06:49:55,08/26/2018 07:03:04,3-Data Recording Device Malfunction,
10237,08/26/2018 09:25:14,08/26/2018 09:45:29,3-Data Recording Device Malfunction,
10237,08/26/2018 09:45:39,08/26/2018 10:04:14,3-Data Recording Device Malfunction,
10237,08/26/2018 10:31:08,08/26/2018 10:45:29,3-Data Recording Device Malfunction,
10237,08/26/2018 10:53:55,08/26/2018 11:12:40,3-Data Recording Device Malfunction,
10237,08/26/2018 11:26:54,08/26/2018 11:43:42,3-Data Recording Device Malfunction,
10237,08/26/2018 11:55:30,08/26/2018 12:07:20,3-Data Recording Device Malfunction,
10237,08/26/2018 13:31:04,08/26/2018 13:45:30,3-Data Recording Device Malfunction,
10237,08/26/2018 13:50:55,08/26/2018 14:31:12,3-Data Recording Device Malfunction,
10237,08/26/2018 14:46:30,08/26/2018 14:57:36,3-Data Recording Device Malfunction,
10237,08/26/2018 15:27:34,08/26/2018 15:39:16,3-Data Recording Device Malfunction,
10237,08/26/2018 18:20:30,08/26/2018 18:37:36,3-Data Recording Device Malfunction,
10237,08/26/2018 18:52:38,08/26/2018 19:07:46,3-Data Recording Device Malfunction,
10237,08/26/2018 20:24:42,08/26/2018 20:34:42,3-Data Recording Device Malfunction,
10238,08/25/2018 18:04:12,08/25/2018 18:14:11,3-Data Recording Device Malfunction,
10238,08/25/2018 18:14:13,08/25/2018 18:24:12,3-Data Recording Device Malfunction,
10238,08/25/2018 18:24:14,08/25/2018 18:34:13,3-Data Recording Device Malfunction,
10238,08/25/2018 18:34:15,08/25/2018 18:44:14,3-Data Recording Device Malfunction,
10238,08/25/2018 18:54:17,08/25/2018 19:04:16,3-Data Recording Device Malfunction,
10238,08/25/2018 19:14:18,08/25/2018 19:24:17,3-Data Recording Device Malfunction,
