Device ID, Latitude, Longitude, Installation Type, Connection, Minimum Value in Measurement Range
10353,45.4000000000,93.9000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10354,45.9000000000,91.5000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10355,44.2000000000,94.0000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10356,44.2000000000,94.0000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10357,47.7000000000,117.5000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10358,38.7000000000,121.2000000000,1 - Separate,3 - Neutral of single-phase transformer,0.1000000000
10586,34.0000000000,118.5000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10051,44.4000000000,96.5000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10063,33.4000000000,112.5000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.1000000000
10102,42.9000000000,71.3000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10107,34.5000000000,118.1000000000,1 - Separate,3 - Neutral of single-phase transformer,0.0100000000
10111,43.4000000000,123.0000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.0100000000
10112,47.7000000000,117.4000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.0100000000
10113,45.6000000000,121.1000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.0100000000
10114,46.5000000000,116.9000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.0100000000
10115,47.6000000000,114.6000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.0100000000
10116,47.9000000000,121.9000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.0100000000
10117,45.3000000000,122.8000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.0100000000
10118,45.7000000000,122.6000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.0100000000
10119,47.5000000000,120.3000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.0100000000
10120,47.8000000000,122.2000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.0100000000
10121,46.9000000000,119.9000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.0100000000
10230,43.6000000000,92.7000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10231,45.0000000000,92.8000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10240,40.8000000000,73.6000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10257,47.4000000000,101.2000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10258,47.4000000000,101.2000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10259,47.4000000000,101.2000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10260,47.4000000000,101.2000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10261,45.1000000000,93.8000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10262,45.1000000000,93.8000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10263,45.1000000000,93.8000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10264,45.1000000000,93.8000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10291,43.4000000000,72.7000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,1.0000000000
10292,44.1000000000,72.5000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,1.0000000000
10293,43.0000000000,72.7000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,1.0000000000
10294,44.1000000000,73.2000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,1.0000000000
10295,42.8000000000,72.5000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,1.0000000000
10296,43.6000000000,73.1000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,1.0000000000
10332,44.0000000000,91.3000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10333,44.4000000000,96.5000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10334,44.4000000000,96.5000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10335,45.1000000000,93.5000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10346,47.9000000000,97.1000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10359,33.7000000000,111.9000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10441,34.2000000000,81.6000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10442,33.8000000000,78.9000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10445,41.1000000000,74.2000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10582,32.5000000000,111.3000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10584,40.0000000000,104.0000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10086,27.7000000000,82.0000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10087,27.9000000000,82.4000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10088,27.9000000000,82.4000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10089,27.8000000000,82.4000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10090,27.8000000000,82.1000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10091,27.7000000000,82.3000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10180,41.7000000000,73.8000000000,2 - Combined,5 - N/A,0.0300000000
10181,41.9000000000,74.0000000000,2 - Combined,2 - Common neutral of three (3) single-phase transformers,0.0300000000
10182,26.6000000000,98.5000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,0.0100000000
10183,41.1000000000,76.7000000000,2 - Combined,2 - Common neutral of three (3) single-phase transformers,0.0300000000
10191,41.3000000000,90.5000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,0.0300000000
10193,41.6000000000,71.4000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,0.0300000000
10194,42.6000000000,73.9000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,0.0300000000
10195,39.7000000000,74.9000000000,2 - Combined,2 - Common neutral of three (3) single-phase transformers,0.0300000000
10196,33.3000000000,111.9000000000,2 - Combined,2 - Common neutral of three (3) single-phase transformers,0.0300000000
10197,36.4000000000,82.2000000000,2 - Combined,2 - Common neutral of three (3) single-phase transformers,0.0300000000
10199,35.0000000000,84.9000000000,2 - Combined,2 - Common neutral of three (3) single-phase transformers,0.0300000000
10201,36.5000000000,87.2000000000,2 - Combined,2 - Common neutral of three (3) single-phase transformers,0.0300000000
10202,34.9000000000,90.0000000000,2 - Combined,2 - Common neutral of three (3) single-phase transformers,0.0300000000
10204,35.3000000000,89.8000000000,2 - Combined,5 - N/A,0.0300000000
10205,36.2000000000,88.8000000000,2 - Combined,2 - Common neutral of three (3) single-phase transformers,0.0300000000
10206,34.8000000000,85.7000000000,2 - Combined,2 - Common neutral of three (3) single-phase transformers,0.0300000000
10207,36.0000000000,84.1000000000,2 - Combined,5 - N/A,0.0300000000
10208,35.8000000000,86.5000000000,2 - Combined,2 - Common neutral of three (3) single-phase transformers,0.0300000000
10209,34.8000000000,85.7000000000,2 - Combined,2 - Common neutral of three (3) single-phase transformers,0.0300000000
10210,34.7000000000,86.5000000000,2 - Combined,2 - Common neutral of three (3) single-phase transformers,0.0300000000
10211,34.3000000000,88.8000000000,2 - Combined,2 - Common neutral of three (3) single-phase transformers,0.0100000000
10212,36.0000000000,86.6000000000,2 - Combined,5 - N/A,0.0300000000
10216,40.9000000000,73.8000000000,2 - Combined,5 - N/A,0.0300000000
10218,42.6000000000,96.3000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,0.0300000000
10219,36.1000000000,81.0000000000,2 - Combined,2 - Common neutral of three (3) single-phase transformers,0.0300000000
10220,39.4000000000,87.4000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,0.0300000000
10221,38.9000000000,84.6000000000,2 - Combined,5 - N/A,0.0300000000
10248,32.8000000000,80.6000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10249,33.3000000000,81.0000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10250,34.1000000000,80.9000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10251,35.9000000000,82.3000000000,2 - Combined,5 - N/A,0.0300000000
10252,36.4000000000,79.0000000000,2 - Combined,5 - N/A,0.0300000000
10325,29.8000000000,95.2000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,0.0100000000
