Device ID, Latitude, Longitude, Installation Type, Connection, Minimum Value in Measurement Range
10052,44.9000000000,97.0000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10094,41.9000000000,72.5000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.0200000000
10095,41.7000000000,72.2000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10096,41.8000000000,72.6000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10097,41.4000000000,72.1000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0200000000
10098,41.4000000000,72.1000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.2000000000
10099,41.4000000000,73.4000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10100,41.6000000000,72.9000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10103,38.6000000000,121.3000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.0100000000
10229,43.6000000000,92.7000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10232,45.0000000000,92.8000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10233,47.6000000000,122.3000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10253,47.5000000000,116.2000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10255,45.7000000000,94.7000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,1.0000000000
10265,43.6000000000,116.3000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10266,42.8000000000,114.4000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.1000000000
10297,46.8000000000,92.3000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,1.0000000000
10298,43.4000000000,88.0000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10299,46.6000000000,87.4000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10300,46.6000000000,87.4000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10301,44.0000000000,88.6000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10302,44.2000000000,88.1000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10303,44.8000000000,89.7000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10304,44.8000000000,89.7000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10305,44.3000000000,87.5000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10306,44.8000000000,88.2000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10307,44.4000000000,88.4000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10308,42.5000000000,89.1000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10309,45.8000000000,88.0000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10310,43.0000000000,89.0000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10311,43.0000000000,89.0000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10312,43.0000000000,89.0000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10313,44.5000000000,89.6000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10314,44.5000000000,89.6000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10315,44.5000000000,89.6000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10316,43.7000000000,88.5000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10317,43.7000000000,88.5000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10318,44.4000000000,88.7000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10321,43.1000000000,88.0000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10322,43.3000000000,89.4000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10323,34.6000000000,117.3000000000,2 - Combined,5 - N/A,0.0300000000
10336,44.8000000000,91.5000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10338,44.8000000000,91.5000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10339,43.7000000000,95.7000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10340,43.7000000000,95.7000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10341,45.0000000000,93.5000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.0100000000
10342,45.0000000000,93.5000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.0100000000
10343,47.9000000000,97.1000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10344,47.9000000000,97.1000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10345,47.9000000000,97.1000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10347,47.9000000000,97.1000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10348,45.5000000000,94.3000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10349,44.8000000000,93.6000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10350,44.8000000000,93.6000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10351,44.8000000000,93.6000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10352,44.8000000000,93.6000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
