Device ID, Start Date Time, End Date Time, Reason, Narrative
10238,05/27/2017 15:02:51,05/27/2017 15:12:50,3-Data Recording Device Malfunction,
10238,05/27/2017 15:12:52,05/27/2017 15:22:51,3-Data Recording Device Malfunction,
10238,05/27/2017 15:22:53,05/27/2017 15:32:52,3-Data Recording Device Malfunction,
10238,05/27/2017 15:32:54,05/27/2017 15:42:53,3-Data Recording Device Malfunction,
10238,05/27/2017 15:52:55,05/27/2017 16:02:54,3-Data Recording Device Malfunction,
10238,05/27/2017 16:02:56,05/27/2017 16:12:55,3-Data Recording Device Malfunction,
10238,05/27/2017 16:12:57,05/27/2017 16:22:56,3-Data Recording Device Malfunction,
10238,05/27/2017 16:22:58,05/27/2017 16:32:57,3-Data Recording Device Malfunction,
10238,05/27/2017 16:32:59,05/27/2017 16:42:58,3-Data Recording Device Malfunction,
10238,05/27/2017 16:43:00,05/27/2017 16:52:59,3-Data Recording Device Malfunction,
10238,05/27/2017 16:53:01,05/27/2017 17:03:00,3-Data Recording Device Malfunction,
10238,05/27/2017 17:13:02,05/27/2017 17:23:01,3-Data Recording Device Malfunction,
10238,05/27/2017 17:23:03,05/27/2017 17:33:02,3-Data Recording Device Malfunction,
10238,05/27/2017 17:33:04,05/27/2017 17:43:03,3-Data Recording Device Malfunction,
10238,05/27/2017 17:43:05,05/27/2017 17:53:04,3-Data Recording Device Malfunction,
10238,05/27/2017 17:53:06,05/27/2017 18:03:05,3-Data Recording Device Malfunction,
10238,05/27/2017 18:03:07,05/27/2017 18:13:06,3-Data Recording Device Malfunction,
10238,05/27/2017 18:13:08,05/27/2017 18:23:07,3-Data Recording Device Malfunction,
10238,05/27/2017 18:33:09,05/27/2017 18:43:08,3-Data Recording Device Malfunction,
10238,05/27/2017 18:43:10,05/27/2017 18:53:09,3-Data Recording Device Malfunction,
10238,05/27/2017 18:53:11,05/27/2017 19:03:10,3-Data Recording Device Malfunction,
10238,05/27/2017 19:03:12,05/27/2017 19:13:11,3-Data Recording Device Malfunction,
10238,05/27/2017 19:13:13,05/27/2017 19:23:12,3-Data Recording Device Malfunction,
10238,05/27/2017 19:23:14,05/27/2017 19:33:13,3-Data Recording Device Malfunction,
10238,05/27/2017 19:33:15,05/27/2017 19:43:14,3-Data Recording Device Malfunction,
10238,05/27/2017 19:53:16,05/27/2017 20:03:15,3-Data Recording Device Malfunction,
10238,05/27/2017 20:03:17,05/27/2017 20:13:16,3-Data Recording Device Malfunction,
10238,05/27/2017 20:13:18,05/27/2017 20:23:17,3-Data Recording Device Malfunction,
10238,05/27/2017 20:23:19,05/27/2017 20:33:18,3-Data Recording Device Malfunction,
10238,05/27/2017 20:33:20,05/27/2017 20:43:19,3-Data Recording Device Malfunction,
10238,05/27/2017 20:43:21,05/27/2017 20:53:20,3-Data Recording Device Malfunction,
10238,05/27/2017 20:53:22,05/27/2017 21:03:21,3-Data Recording Device Malfunction,
10238,05/27/2017 21:13:23,05/27/2017 21:23:22,3-Data Recording Device Malfunction,
10238,05/27/2017 21:23:24,05/27/2017 21:33:23,3-Data Recording Device Malfunction,
10238,05/27/2017 21:33:25,05/27/2017 21:43:24,3-Data Recording Device Malfunction,
10238,05/27/2017 21:43:26,05/27/2017 21:53:25,3-Data Recording Device Malfunction,
10238,05/27/2017 21:53:27,05/27/2017 22:03:26,3-Data Recording Device Malfunction,
10238,05/27/2017 22:03:28,05/27/2017 22:13:27,3-Data Recording Device Malfunction,
10238,05/27/2017 22:13:29,05/27/2017 22:23:28,3-Data Recording Device Malfunction,
10238,05/27/2017 22:33:30,05/27/2017 22:43:29,3-Data Recording Device Malfunction,
10238,05/27/2017 22:43:31,05/27/2017 22:53:30,3-Data Recording Device Malfunction,
10238,05/27/2017 22:53:32,05/27/2017 23:03:31,3-Data Recording Device Malfunction,
10238,05/27/2017 23:03:33,05/27/2017 23:13:32,3-Data Recording Device Malfunction,
10238,05/27/2017 23:13:34,05/27/2017 23:23:33,3-Data Recording Device Malfunction,
10238,05/27/2017 23:23:35,05/27/2017 23:33:34,3-Data Recording Device Malfunction,
10238,05/27/2017 23:33:36,05/27/2017 23:43:35,3-Data Recording Device Malfunction,
10238,05/27/2017 23:53:37,05/28/2017 00:03:36,3-Data Recording Device Malfunction,
10238,05/28/2017 00:03:38,05/28/2017 00:13:37,3-Data Recording Device Malfunction,
10238,05/28/2017 00:13:39,05/28/2017 00:23:38,3-Data Recording Device Malfunction,
10238,05/28/2017 00:23:40,05/28/2017 00:33:39,3-Data Recording Device Malfunction,
10238,05/28/2017 00:33:41,05/28/2017 00:43:40,3-Data Recording Device Malfunction,
10238,05/28/2017 00:43:42,05/28/2017 00:53:41,3-Data Recording Device Malfunction,
10238,05/28/2017 00:53:43,05/28/2017 01:03:42,3-Data Recording Device Malfunction,
10238,05/28/2017 01:13:44,05/28/2017 01:23:43,3-Data Recording Device Malfunction,
10238,05/28/2017 01:23:45,05/28/2017 01:33:44,3-Data Recording Device Malfunction,
10238,05/28/2017 01:33:46,05/28/2017 01:43:45,3-Data Recording Device Malfunction,
10238,05/28/2017 01:43:47,05/28/2017 01:53:46,3-Data Recording Device Malfunction,
10238,05/28/2017 01:53:48,05/28/2017 02:03:47,3-Data Recording Device Malfunction,
10238,05/28/2017 02:03:49,05/28/2017 02:13:48,3-Data Recording Device Malfunction,
10238,05/28/2017 02:13:50,05/28/2017 02:23:49,3-Data Recording Device Malfunction,
10238,05/28/2017 02:33:51,05/28/2017 02:43:50,3-Data Recording Device Malfunction,
10238,05/28/2017 02:43:52,05/28/2017 02:53:51,3-Data Recording Device Malfunction,
10238,05/28/2017 02:53:53,05/28/2017 03:03:52,3-Data Recording Device Malfunction,
10238,05/28/2017 03:03:54,05/28/2017 03:13:53,3-Data Recording Device Malfunction,
10238,05/28/2017 03:13:55,05/28/2017 03:23:54,3-Data Recording Device Malfunction,
10238,05/28/2017 03:23:56,05/28/2017 03:33:55,3-Data Recording Device Malfunction,
10238,05/28/2017 03:33:57,05/28/2017 03:43:56,3-Data Recording Device Malfunction,
10238,05/28/2017 03:53:58,05/28/2017 04:03:57,3-Data Recording Device Malfunction,
10238,05/28/2017 04:03:59,05/28/2017 04:13:58,3-Data Recording Device Malfunction,
10238,05/28/2017 04:14:00,05/28/2017 04:23:59,3-Data Recording Device Malfunction,
10238,05/28/2017 04:24:01,05/28/2017 04:34:00,3-Data Recording Device Malfunction,
10238,05/28/2017 04:34:02,05/28/2017 04:44:01,3-Data Recording Device Malfunction,
10238,05/28/2017 04:44:03,05/28/2017 04:54:02,3-Data Recording Device Malfunction,
10238,05/28/2017 04:54:04,05/28/2017 05:04:03,3-Data Recording Device Malfunction,
10238,05/28/2017 05:14:05,05/28/2017 05:24:04,3-Data Recording Device Malfunction,
10238,05/28/2017 05:24:06,05/28/2017 05:34:05,3-Data Recording Device Malfunction,
10238,05/28/2017 05:34:07,05/28/2017 05:44:06,3-Data Recording Device Malfunction,
10238,05/28/2017 05:44:08,05/28/2017 05:54:07,3-Data Recording Device Malfunction,
10238,05/28/2017 05:54:09,05/28/2017 06:04:08,3-Data Recording Device Malfunction,
10238,05/28/2017 06:04:10,05/28/2017 06:14:09,3-Data Recording Device Malfunction,
10238,05/28/2017 06:14:11,05/28/2017 06:24:10,3-Data Recording Device Malfunction,
10238,05/28/2017 06:34:12,05/28/2017 06:44:11,3-Data Recording Device Malfunction,
10238,05/28/2017 06:44:13,05/28/2017 06:54:12,3-Data Recording Device Malfunction,
10238,05/28/2017 06:54:14,05/28/2017 07:04:13,3-Data Recording Device Malfunction,
10238,05/28/2017 07:04:15,05/28/2017 07:14:14,3-Data Recording Device Malfunction,
10238,05/28/2017 07:14:16,05/28/2017 07:24:15,3-Data Recording Device Malfunction,
10238,05/28/2017 07:24:17,05/28/2017 07:34:16,3-Data Recording Device Malfunction,
10238,05/28/2017 07:34:18,05/28/2017 07:44:17,3-Data Recording Device Malfunction,
10238,05/28/2017 07:54:19,05/28/2017 08:04:18,3-Data Recording Device Malfunction,
10238,05/28/2017 08:04:20,05/28/2017 08:14:19,3-Data Recording Device Malfunction,
10238,05/28/2017 08:14:21,05/28/2017 08:24:20,3-Data Recording Device Malfunction,
10238,05/28/2017 08:24:22,05/28/2017 08:34:21,3-Data Recording Device Malfunction,
10238,05/28/2017 08:34:23,05/28/2017 08:44:22,3-Data Recording Device Malfunction,
10238,05/28/2017 08:44:24,05/28/2017 08:54:23,3-Data Recording Device Malfunction,
10238,05/28/2017 08:54:25,05/28/2017 09:04:24,3-Data Recording Device Malfunction,
10238,05/28/2017 09:14:26,05/28/2017 09:24:25,3-Data Recording Device Malfunction,
10238,05/28/2017 09:24:27,05/28/2017 09:34:26,3-Data Recording Device Malfunction,
10238,05/28/2017 09:34:28,05/28/2017 09:44:27,3-Data Recording Device Malfunction,
10238,05/28/2017 09:44:29,05/28/2017 09:54:28,3-Data Recording Device Malfunction,
