Device ID, Start Date Time, End Date Time, Reason, Narrative
10382,10/06/2015 18:00:00,10/09/2015 09:00:00,6-Data Quality (narrative required),Unknown issue
10385,10/06/2015 18:00:00,10/09/2015 09:00:00,6-Data Quality (narrative required),Additional phenomena contributing to increased neutral current.
10075,10/08/2015 19:54:30,10/08/2015 20:06:50,1-GIC Monitor Malfunction,
10076,10/08/2015 19:55:10,10/08/2015 20:08:30,1-GIC Monitor Malfunction,
10077,10/08/2015 19:54:50,10/08/2015 20:06:40,1-GIC Monitor Malfunction,
10078,10/08/2015 19:54:50,10/08/2015 20:06:40,1-GIC Monitor Malfunction,
10079,10/08/2015 19:55:10,10/08/2015 20:06:10,1-GIC Monitor Malfunction,
10080,10/08/2015 19:54:50,10/08/2015 20:06:40,1-GIC Monitor Malfunction,
10083,10/08/2015 19:55:10,10/08/2015 20:08:30,1-GIC Monitor Malfunction,
10085,10/08/2015 19:54:50,10/08/2015 20:06:40,1-GIC Monitor Malfunction,
10291,10/06/2015 18:00:00,10/09/2015 09:00:00,6-Data Quality (narrative required),Data compression for our historian causes a reduction of stored datapoints which in some cases makes a pulse look like a ramp
10292,10/06/2015 18:00:00,10/09/2015 09:00:00,6-Data Quality (narrative required),Data compression for our historian causes a reduction of stored datapoints which in some cases makes a pulse look like a ramp
10293,10/06/2015 18:00:00,10/09/2015 09:00:00,6-Data Quality (narrative required),Data compression for our historian causes a reduction of stored datapoints which in some cases makes a pulse look like a ramp
10294,10/06/2015 18:00:00,10/09/2015 09:00:00,6-Data Quality (narrative required),Data compression for our historian causes a reduction of stored datapoints which in some cases makes a pulse look like a ramp
10295,10/06/2015 18:00:00,10/09/2015 09:00:00,6-Data Quality (narrative required),Data compression for our historian causes a reduction of stored datapoints which in some cases makes a pulse look like a ramp
10296,10/06/2015 18:00:00,10/09/2015 09:00:00,6-Data Quality (narrative required),Data compression for our historian causes a reduction of stored datapoints which in some cases makes a pulse look like a ramp
