Device ID, Start Date Time, End Date Time, Reason, Narrative
10291,12/20/2015 03:00:00,12/21/2015 09:00:00,6-Data Quality (narrative required),Data compression for our historian causes a reduction of stored datapoints which in some cases makes a pulse look like a ramp
10292,12/20/2015 03:00:00,12/21/2015 09:00:00,6-Data Quality (narrative required),Data compression for our historian causes a reduction of stored datapoints which in some cases makes a pulse look like a ramp
10293,12/20/2015 03:00:00,12/21/2015 09:00:00,6-Data Quality (narrative required),Data compression for our historian causes a reduction of stored datapoints which in some cases makes a pulse look like a ramp
10294,12/20/2015 03:00:00,12/21/2015 09:00:00,6-Data Quality (narrative required),Data compression for our historian causes a reduction of stored datapoints which in some cases makes a pulse look like a ramp
10295,12/20/2015 03:00:00,12/21/2015 09:00:00,6-Data Quality (narrative required),Data compression for our historian causes a reduction of stored datapoints which in some cases makes a pulse look like a ramp
10296,12/20/2015 03:00:00,12/21/2015 09:00:00,6-Data Quality (narrative required),Data compression for our historian causes a reduction of stored datapoints which in some cases makes a pulse look like a ramp
